Sample,model,npar,logLik,AIC,AICc,dAIC,AICwt
h10_0.7_0.25,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-211.108690970826,442.217,448.503,0,0.4522
h10_0.7_0.25,D~1 g0~dist sigma~1 pmix~h2,5,-216.453616679968,442.907,444.407,0.6899999999999977,0.3203
h10_0.7_0.25,D~x + y g0~dist sigma~1 pmix~h2,7,-215.85145634448,445.703,448.65,3.48599999999999,0.0791
h10_0.7_0.25,D~1 g0~1 sigma~1 pmix~h2,4,-218.96393946873,445.928,446.903,3.7110000000000127,0.0707
h10_0.7_0.25,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-214.096030151816,446.192,451.192,3.9750000000000227,0.062
h10_0.7_0.25,D~x + y g0~1 sigma~1 pmix~h2,6,-218.471914934421,448.944,451.098,6.727000000000032,0.0157
h11_0.4_0.2,D~1 g0~dist sigma~1,4,-342.612276199236,693.225,693.859,0,0.4633
h11_0.4_0.2,D~x + y + x2 + y2 + xy g0~dist sigma~1,9,-337.814871778886,693.63,696.733,0.4049999999999727,0.3783
h11_0.4_0.2,D~x + y g0~dist sigma~1,6,-342.000024809479,696,697.377,2.7749999999999773,0.1157
h11_0.4_0.2,D~1 g0~1 sigma~1,3,-346.577351111437,699.155,699.53,5.92999999999995,0.0239
h11_0.4_0.2,D~x + y + x2 + y2 + xy g0~1 sigma~1,8,-342.13373279135,700.267,702.708,7.04200000000003,0.0137
h11_0.4_0.2,D~x + y g0~1 sigma~1,5,-346.116568713256,702.233,703.201,9.007999999999925,0.0051
h11_0.6_0.2,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-249.581272988883,519.163,524.163,0,0.7385
h11_0.6_0.2,D~1 g0~dist sigma~1 pmix~h2,5,-256.570983896779,523.142,524.366,3.979000000000042,0.101
h11_0.6_0.2,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-252.618869773962,523.238,527.238,4.0750000000000455,0.0963
h11_0.6_0.2,D~x + y g0~dist sigma~1 pmix~h2,7,-255.690059688892,525.38,527.763,6.2169999999999845,0.033
h11_0.6_0.2,D~1 g0~1 sigma~1 pmix~h2,4,-258.99236512753,525.985,526.785,6.822000000000003,0.0244
h11_0.6_0.2,D~x + y g0~1 sigma~1 pmix~h2,6,-258.258322562278,528.517,530.267,9.354000000000042,0.0069
h12_0.7_0.3,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-211.108690970689,442.217,448.503,0,0.4522
h12_0.7_0.3,D~1 g0~dist sigma~1 pmix~h2,5,-216.453616680104,442.907,444.407,0.6899999999999977,0.3203
h12_0.7_0.3,D~x + y g0~dist sigma~1 pmix~h2,7,-215.851456344655,445.703,448.65,3.48599999999999,0.0791
h12_0.7_0.3,D~1 g0~1 sigma~1 pmix~h2,4,-218.963939469028,445.928,446.903,3.7110000000000127,0.0707
h12_0.7_0.3,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-214.09603015134,446.192,451.192,3.9750000000000227,0.062
h12_0.7_0.3,D~x + y g0~1 sigma~1 pmix~h2,6,-218.471914934404,448.944,451.098,6.727000000000032,0.0157
h13_0.5_0.2,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-333.560527427851,687.121,691.272,0,0.5125
h13_0.5_0.2,D~1 g0~dist sigma~1 pmix~h2,5,-339.108373164341,688.217,689.251,1.0960000000000036,0.2963
h13_0.5_0.2,D~x + y g0~dist sigma~1 pmix~h2,7,-338.373987042023,690.748,692.748,3.6270000000000664,0.0836
h13_0.5_0.2,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-336.833345657995,691.667,695,4.546000000000049,0.0528
h13_0.5_0.2,D~1 g0~1 sigma~1 pmix~h2,4,-342.002980013195,692.006,692.684,4.884999999999991,0.0446
h13_0.5_0.2,D~x + y g0~1 sigma~1 pmix~h2,6,-341.460814209895,694.922,696.395,7.801000000000045,0.0104
h13_0.6_0.25,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-254.43807355944,528.876,533.992,0,0.7192
h13_0.6_0.25,D~1 g0~dist sigma~1 pmix~h2,5,-261.348928235028,532.698,533.948,3.8220000000000027,0.1064
h13_0.6_0.25,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-257.41989805352,532.84,536.931,3.9640000000000555,0.0991
h13_0.6_0.25,D~x + y g0~dist sigma~1 pmix~h2,7,-260.291183540743,534.582,537.017,5.706000000000017,0.0415
h13_0.6_0.25,D~1 g0~1 sigma~1 pmix~h2,4,-263.791244770187,535.582,536.399,6.706000000000017,0.0252
h13_0.6_0.25,D~x + y g0~1 sigma~1 pmix~h2,6,-262.852413615907,537.705,539.492,8.829000000000065,0.0087
h13_0.6_0.3,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-254.438073559467,528.876,533.992,0,0.7192
h13_0.6_0.3,D~1 g0~dist sigma~1 pmix~h2,5,-261.348928235026,532.698,533.948,3.8220000000000027,0.1064
h13_0.6_0.3,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-257.419898053516,532.84,536.931,3.9640000000000555,0.0991
h13_0.6_0.3,D~x + y g0~dist sigma~1 pmix~h2,7,-260.291183536953,534.582,537.017,5.706000000000017,0.0415
h13_0.6_0.3,D~1 g0~1 sigma~1 pmix~h2,4,-263.791244765462,535.582,536.399,6.706000000000017,0.0252
h13_0.6_0.3,D~x + y g0~1 sigma~1 pmix~h2,6,-262.852413620867,537.705,539.492,8.829000000000065,0.0087
h15_0.5_0.3,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-333.560527619301,687.121,691.272,0,0.5125
h15_0.5_0.3,D~1 g0~dist sigma~1 pmix~h2,5,-339.10837333884,688.217,689.251,1.0960000000000036,0.2963
h15_0.5_0.3,D~x + y g0~dist sigma~1 pmix~h2,7,-338.373985899536,690.748,692.748,3.6270000000000664,0.0836
h15_0.5_0.3,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-336.833344651767,691.667,695,4.546000000000049,0.0528
h15_0.5_0.3,D~1 g0~1 sigma~1 pmix~h2,4,-342.002979921615,692.006,692.684,4.884999999999991,0.0446
h15_0.5_0.3,D~x + y g0~1 sigma~1 pmix~h2,6,-341.460813916896,694.922,696.395,7.801000000000045,0.0104
h16_0.4_0.3,D~1 g0~dist sigma~1,4,-352.380250185154,712.761,713.416,0,0.4747
h16_0.4_0.3,D~x + y + x2 + y2 + xy g0~dist sigma~1,9,-347.81833419351,713.637,716.851,0.8759999999999764,0.3063
h16_0.4_0.3,D~x + y g0~dist sigma~1,6,-351.37771013987,714.755,716.179,1.9940000000000282,0.1752
h16_0.4_0.3,D~1 g0~1 sigma~1,3,-356.34951541478,718.699,719.086,5.937999999999988,0.0244
h16_0.4_0.3,D~x + y + x2 + y2 + xy g0~1 sigma~1,8,-352.07593469843,720.152,722.678,7.391000000000076,0.0118
h16_0.4_0.3,D~x + y g0~1 sigma~1,5,-355.50970513681,721.019,722.019,8.258000000000038,0.0076
h5_0.8_0.2,D~1 g0~dist sigma~1 pmix~h2,5,-140.488361873296,290.977,293.704,0,0.3841
h5_0.8_0.2,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-135.768940280874,291.538,304.479,0.5610000000000355,0.2901
h5_0.8_0.2,D~1 g0~1 sigma~1 pmix~h2,4,-142.361833000405,292.724,294.463,1.747000000000014,0.1604
h5_0.8_0.2,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-138.149114218625,294.298,304.298,3.3210000000000264,0.073
h5_0.8_0.2,D~x + y g0~dist sigma~1 pmix~h2,7,-140.22541188167,294.451,300.051,3.4740000000000464,0.0676
h5_0.8_0.2,D~x + y g0~1 sigma~1 pmix~h2,6,-142.229132822563,296.458,300.458,5.481000000000051,0.0248
h5_0.8_0.25,D~1 g0~dist sigma~1 pmix~h2,5,-140.488361873463,290.977,293.704,0,0.3841
h5_0.8_0.25,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-135.76894028088,291.538,304.479,0.5610000000000355,0.2901
h5_0.8_0.25,D~1 g0~1 sigma~1 pmix~h2,4,-142.361833000236,292.724,294.463,1.747000000000014,0.1604
h5_0.8_0.25,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-138.149114218552,294.298,304.298,3.3210000000000264,0.073
h5_0.8_0.25,D~x + y g0~dist sigma~1 pmix~h2,7,-140.225411881802,294.451,300.051,3.4740000000000464,0.0676
h5_0.8_0.25,D~x + y g0~1 sigma~1 pmix~h2,6,-142.229132822519,296.458,300.458,5.481000000000051,0.0248
h7_0.8_0.3,D~1 g0~dist sigma~1 pmix~h2,5,-140.488361873591,290.977,293.704,0,0.3841
h7_0.8_0.3,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-135.768940280885,291.538,304.479,0.5610000000000355,0.2901
h7_0.8_0.3,D~1 g0~1 sigma~1 pmix~h2,4,-142.361832997694,292.724,294.463,1.747000000000014,0.1604
h7_0.8_0.3,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-138.149114216114,294.298,304.298,3.3210000000000264,0.073
h7_0.8_0.3,D~x + y g0~dist sigma~1 pmix~h2,7,-140.225411881785,294.451,300.051,3.4740000000000464,0.0676
h7_0.8_0.3,D~x + y g0~1 sigma~1 pmix~h2,6,-142.22913282251,296.458,300.458,5.481000000000051,0.0248
h9_0.7_0.2,D~x + y + x2 + y2 + xy g0~dist sigma~1 pmix~h2,10,-211.108690970832,442.217,448.503,0,0.4522
h9_0.7_0.2,D~1 g0~dist sigma~1 pmix~h2,5,-216.453616680067,442.907,444.407,0.6899999999999977,0.3203
h9_0.7_0.2,D~x + y g0~dist sigma~1 pmix~h2,7,-215.85145634451,445.703,448.65,3.48599999999999,0.0791
h9_0.7_0.2,D~1 g0~1 sigma~1 pmix~h2,4,-218.963939468486,445.928,446.903,3.7110000000000127,0.0707
h9_0.7_0.2,D~x + y + x2 + y2 + xy g0~1 sigma~1 pmix~h2,9,-214.096030156018,446.192,451.192,3.9750000000000227,0.062
h9_0.7_0.2,D~x + y g0~1 sigma~1 pmix~h2,6,-218.471914934805,448.944,451.098,6.727000000000032,0.0157
